,Country,Happiness Score,Economy (GDP per Capita),Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,happy_level
103,New Zealand,7.292700031712464,1.3852329953764726,0.8754035005679398,0.6350877548064002,0.4236681222659321,0.3763439171249313,Very Happy
104,Nicaragua,6.051387539897767,0.7255527936090851,0.7009324019521331,0.5200298938130263,0.1629828194804935,0.2334282117482128,Happy
105,Niger,4.438699957366211,0.1841694578447618,0.2757514200035725,0.43141253892663,0.1384097138988542,0.1960525926911945,Ok
106,Nigeria,4.959012499343047,0.7453960143879395,0.1349877082797451,0.4021140025539493,0.0368139376340133,0.2199744150604515,Ok
107,North Cyprus,5.670937499097443,1.3453975926437,0.8995939794068184,0.4766649185252724,0.1740920321784353,0.210864469640625,Happy
108,North Macedonia,5.152725030466858,1.05659499151577,0.6914715395612755,0.3780475707099571,0.0434516065695564,0.210410562959795,Happy
109,Norway,7.493750011911346,1.5701388142945862,0.867842300244072,0.6614304339243393,0.3818568003155194,0.2998671654138012,Very Happy
110,Oman,6.853,1.36011,0.76276,0.63274,0.32524,0.21542,Very Happy
111,Pakistan,5.23291247792572,0.705284125577095,0.430587628142046,0.30260962444732,0.1137975234683986,0.2577138852715835,Happy
112,Palestinian Territories,4.6544750342959285,0.7082473058154755,0.5796354433238564,0.26660522646451,0.0865470317589702,0.0967549293630523,Ok
113,Panama,6.435475021892975,1.231500781121765,0.766832833825676,0.5577808267513847,0.0653930562464566,0.1444880309055337,Very Happy
114,Paraguay,5.657012509814698,0.9457635175345,0.6405062924151536,0.543419731719698,0.0703154115548496,0.2183512373317261,Happy
115,Peru,5.729725036198486,1.0158730565223313,0.7125900360470772,0.4773991171130429,0.0394864683176171,0.1081901914879788,Happy
116,Philippines,5.590874983792328,0.8566637364265175,0.5289623169575997,0.6138899795591011,0.1187597025033536,0.1573029544005527,Happy
117,Poland,6.0474124813238825,1.2851771265972136,0.7602654779994698,0.5214207049484405,0.0876211321492285,0.1203575263227872,Happy
118,Portugal,5.547362535957673,1.3014945157345126,0.8579973528277702,0.5495400610757903,0.0229491147108424,0.068654957439002,Happy
119,Puerto Rico,7.039,1.35943,0.77758,0.46823,0.12275,0.22202,Very Happy
120,Qatar,6.4218,1.743691137207032,0.7687316175575256,0.6040641966705322,0.3559738511219024,0.2912167740077972,Very Happy
121,Romania,5.904087493908143,1.227904441540444,0.7154216465400887,0.4835820085570544,0.0039371837123662,0.0903839420908146,Happy
122,Russia,5.684374978088654,1.254837214269089,0.6136206554703904,0.3762365883215333,0.0425715303785815,0.0699569673008163,Happy
123,Rwanda,3.3985374903913725,0.3878160710299969,0.441137261538763,0.5950177177496032,0.486235311232111,0.2226576271709308,Ok
124,Saudi Arabia,6.412937465708862,1.4796115108979262,0.6548608083418502,0.486218505430376,0.2080093212239075,0.109085837235568,Very Happy
125,Senegal,4.641099999926514,0.5151863550533257,0.4469655949466743,0.3727003957152156,0.0930332981208815,0.1674157535212946,Ok
126,Serbia,5.591275016365814,1.0802999260336763,0.7130434956633263,0.3200492434062176,0.0507388659511711,0.1811360967272091,Happy
127,Sierra Leone,4.268175007078277,0.3491339139645825,0.103064839987186,0.3593719221204681,0.0611070140051407,0.2424422386778126,Ok
